Model,Dataset,Porosity,Permeability,Min_Local_Thickness,Mean_Local_Thickness,Max_Local_Thickness,Minkowski_Volume,Minkowski_Surface_Area,Minkowski_Mean_Curvature,Minkowski_Euler_Characteristic,Bias_Error_,Magnitude_Error_,Correlation,Angular_Error_Deg,Flux_Error,Tortuosity_Error_,Divergent_Residual_
Ko et. al (Etapas 3),Spherical Pores,0.6962002314814815,2635.0283203125,1.0,8.323479198431,12.664176399359539,1195487.0,30704.35214262624,1.182000246196809e+18,-108.59340710838886,18.256834030151367,23.01702308654785,0.9735068591022097,20.821754455566406,0.36942562460899353,0.3948015868663788,36.84764099121094
Ko et. al (Etapas 3),Spherical Pores,0.6962002314814815,2635.0283203125,1.0,8.323479198431006,12.664176399359539,1195487.0,30704.35214262624,1.182000246196809e+18,-108.59340710838886,18.426790237426758,22.729209899902344,0.9765750187286193,20.48689842224121,0.3671377897262573,0.5764269828796387,36.090091705322266
Ko et. al (Etapas 3),Spherical Pores,0.6962002314814815,2635.0283203125,1.0,8.323479198430999,12.664176399359539,1195487.0,30704.35214262624,1.182000246196809e+18,-108.59340710838886,18.407068252563477,23.177865982055664,0.9735120548363894,20.763046264648438,0.35668790340423584,0.3960457146167755,36.834651947021484
Ko et. al (Etapas 3),Spherical Pores,0.6962002314814815,2635.0283203125,1.0,8.323479198431004,12.664176399359539,1195487.0,30704.35214262625,1.182000246196809e+18,-108.59340710838886,18.027976989746094,22.786354064941406,0.9731415429616261,20.65757179260254,0.36172398924827576,0.14333494007587433,36.21995544433594
Ko et. al (Etapas 3),Spherical Pores,0.7000104166666666,3125.771728515625,1.0,8.464889842513616,11.814004250666148,1201525.0,30057.33785442157,1.182000246196809e+18,-106.43486819270501,3.0747647285461426,12.868021965026855,0.9751458658870483,19.253557205200195,0.2934633791446686,2.102351188659668,36.882225036621094
Ko et. al (Etapas 3),Spherical Pores,0.7000104166666666,3125.771728515625,1.0,8.464889842513612,11.814004250666148,1201525.0,30057.337854421563,1.182000246196809e+18,-106.43486819270501,3.6693789958953857,12.82595443725586,0.9738200845484679,19.34232521057129,0.3031438887119293,2.02189040184021,36.8189697265625
Ko et. al (Etapas 3),Spherical Pores,0.7000104166666666,3125.771728515625,1.0,8.464889842513612,11.814004250666148,1201525.0,30057.337854421563,1.182000246196809e+18,-106.43486819270501,2.305295705795288,13.012639045715332,0.9737381768313693,19.072498321533203,0.2952909767627716,2.208820343017578,36.53437423706055
Ko et. al (Etapas 3),Spherical Pores,0.7000104166666666,3125.771728515625,1.0,8.46488984251362,11.814004250666148,1201525.0,30057.33785442157,1.182000246196809e+18,-106.43486819270501,2.338360071182251,11.987162590026855,0.977214306710167,19.137889862060547,0.3229622542858124,2.5815227031707764,36.85908889770508
Ko et. al (Etapas 3),Spherical Pores,0.678859375,3622.017333984375,1.0,9.650018457592756,13.484778931738408,1166119.0,26348.595585861123,8.885135895171124e+17,-58.94701204766074,5.900938510894775,12.331855773925781,0.9823455405558914,20.650602340698242,0.3476410508155823,4.520345687866211,38.03241729736328
Ko et. al (Etapas 3),Spherical Pores,0.678859375,3622.01708984375,1.0,9.650018457592761,13.484778931738408,1166119.0,26348.595585861123,8.885135895171124e+17,-58.94701204766074,5.165248870849609,12.827549934387207,0.978166077327736,21.09621810913086,0.2370956391096115,4.627632141113281,38.94718551635742
Ko et. al (Etapas 3),Spherical Pores,0.678859375,3622.017333984375,1.0,9.650018457592761,13.484778931738408,1166119.0,26348.595585861123,8.885135895171124e+17,-58.94701204766074,4.489226341247559,12.146346092224121,0.9806390452186222,20.569149017333984,0.3414749205112457,4.057541370391846,37.325199127197266
Ko et. al (Etapas 3),Spherical Pores,0.678859375,3622.01708984375,1.0,9.650018457592752,13.484778931738408,1166119.0,26348.595585861116,8.885135895171124e+17,-58.94701204766074,6.056435585021973,12.46743106842041,0.9795942356169935,21.32413101196289,0.23827163875102997,4.002206325531006,38.54753494262695
Ko et. al (Etapas 3),Spherical Pores,0.7072818287037037,4293.28125,1.0,9.891593790832633,13.484778931738408,1214138.0,25931.367500609158,1.182000246196809e+18,-54.91840255064713,2.082892656326294,13.210248947143555,0.974501207287374,19.468032836914062,0.3522976338863373,3.4171528816223145,36.54877471923828
Ko et. al (Etapas 3),Spherical Pores,0.7072818287037037,4293.28125,1.0,9.891593790832632,13.484778931738408,1214138.0,25931.367500609158,1.182000246196809e+18,-54.91840255064713,0.7710137367248535,14.721396446228027,0.9699847252126547,19.406620025634766,0.45751363039016724,3.4883737564086914,37.33649826049805
Ko et. al (Etapas 3),Spherical Pores,0.7072818287037037,4293.28125,1.0,9.891593790832637,13.484778931738408,1214138.0,25931.36750060916,1.182000246196809e+18,-54.91840255064713,2.0655484199523926,13.873319625854492,0.9723848248940136,19.43043327331543,0.35276612639427185,3.1560349464416504,36.76755905151367
Ko et. al (Etapas 3),Spherical Pores,0.7072818287037037,4293.28125,1.0,9.891593790832635,13.484778931738408,1214138.0,25931.367500609158,1.182000246196809e+18,-54.91840255064713,1.4368647336959839,13.769655227661133,0.9735721999535961,19.563152313232422,0.4670833349227905,3.5369503498077393,37.07961654663086
