Model,Dataset,Porosity,Permeability,Min_Local_Thickness,Mean_Local_Thickness,Max_Local_Thickness,Minkowski_Volume,Minkowski_Surface_Area,Minkowski_Mean_Curvature,Minkowski_Euler_Characteristic,Bias_Error_,Magnitude_Error_,Correlation
Ko et. al (Etapa 3),Spherical Pores,0.5107760416666667,1590.3702392578125,1.0,11.572544885058974,18.110771637517,877461.0000000001,20974.89937981467,336.77486651563237,-16.7311633925355,9.628433227539062,37.273704528808594,0.8715553969879805
Ko et. al (Etapa 3),Spherical Pores,0.5107760416666667,1590.3699951171875,1.0,11.57254488505897,18.110771637517,877461.0000000001,20974.89937981467,336.7748665156325,-16.7311633925355,8.415146827697754,39.7617301940918,0.8516535543431903
Ko et. al (Etapa 3),Spherical Pores,0.5107760416666667,1590.3702392578125,1.0,11.572544885058976,18.110771637517,877461.0000000001,20974.899379814673,336.77486651563237,-16.7311633925355,5.811095237731934,39.786354064941406,0.8546904561898944
Ko et. al (Etapa 0),Spherical Pores,0.5118755787037037,1308.8135986328125,1.0,11.39140019400909,18.110771637517,881341.0,21965.663125863146,334.5224287423813,-20.01373409380584,128.02569580078125,110.69924926757812,0.7893412408585064
Ko et. al (Etapa 0),Spherical Pores,0.5118755787037037,1308.8138427734375,1.0,11.391400194009089,18.110771637517,881341.0,21965.663125863146,334.5224287423812,-20.01373409380584,123.32029724121094,107.1548843383789,0.7927638581732876
Ko et. al (Etapa 0),Spherical Pores,0.5118755787037037,1308.8138427734375,1.0,11.391400194009089,18.110771637517,881341.0,21965.663125863146,334.5224287423812,-20.01373409380584,128.16873168945312,111.69345092773438,0.7908926947535135
Ko et. al (Etapa 0),Spherical Pores,0.5118755787037037,1308.8138427734375,1.0,11.39140019400909,18.110771637517,881341.0,21965.663125863146,334.5224287423813,-20.01373409380584,124.08477783203125,106.32301330566406,0.7857970531201902
Ko et. al (Etapa 0),Spherical Pores,0.45336921296296295,844.1255493164062,1.0,11.843540382505221,18.658129485507295,779341.0,17905.04622647963,297.2008747089705,-5.540581456386607,309.61798095703125,200.9145050048828,0.7243922674417954
Ko et. al (Etapa 0),Spherical Pores,0.45336921296296295,844.12548828125,1.0,11.84354038250522,18.658129485507295,779341.0,17905.046226479633,297.2008747089706,-5.540581456386607,326.9064025878906,210.33419799804688,0.7301800407284209
Ko et. al (Etapa 0),Spherical Pores,0.45336921296296295,844.1255493164062,1.0,11.843540382505218,18.658129485507295,779341.0,17905.046226479633,297.2008747089705,-5.540581456386607,320.7563171386719,213.8562469482422,0.7489631338883364
Ko et. al (Etapa 0),Spherical Pores,0.45336921296296295,844.12548828125,1.0,11.843540382505225,18.658129485507295,779341.0,17905.04622647963,297.2008747089705,-5.540581456386607,316.53741455078125,204.55014038085938,0.7487382417965419
Ko et. al (Etapa 0),Spherical Pores,0.5171122685185185,1071.8746337890625,1.0,12.552819778450406,18.658129485507295,889750.0,19052.498767366385,272.78144648811775,-8.823152157656947,319.32342529296875,287.53155517578125,0.687232611149096
Ko et. al (Etapa 0),Spherical Pores,0.5171122685185185,1071.8746337890625,1.0,12.552819778450411,18.658129485507295,889750.0,19052.498767366385,272.78144648811775,-8.823152157656947,322.49420166015625,291.7001037597656,0.6866323785953975
Ko et. al (Etapa 0),Spherical Pores,0.5171122685185185,1071.8743896484375,1.0,12.552819778450406,18.658129485507295,889750.0,19052.498767366385,272.78144648811775,-8.823152157656947,315.66796875,283.5341491699219,0.6666281202662814
Ko et. al (Etapa 0),Spherical Pores,0.5171122685185185,1071.8743896484375,1.0,12.552819778450411,18.658129485507295,889750.0,19052.498767366385,272.7814464881178,-8.823152157656947,322.6376647949219,288.1410827636719,0.6836543642002684
Ko et. al (Etapa 0),Spherical Pores,0.6025376157407407,1156.7891845703125,1.0,7.844447972266815,10.891451493412363,1036009.9999999999,31778.92905274051,244.70663368970037,-80.69155614759094,5.460221290588379,37.48298263549805,0.833965724469018
Ko et. al (Etapa 0),Spherical Pores,0.6025376157407407,1156.789306640625,1.0,7.844447972266817,10.891451493412363,1036009.9999999999,31778.92905274051,244.7066336897004,-80.69155614759094,6.563211441040039,36.25952911376953,0.8350856553637983
